fencer_id,first_name,last_name,full_name,dob,gender,weapon,club_id,email,phone,bracket
1,John,Mcdonald,John Mcdonald,2016-09-18,M,Sabre,1,dianahill@example.com,(592)853-2972x12485,U11
2,Danny,Williams PhD,Danny Williams PhD,2015-02-03,M,Sabre,1,darryl23@example.com,(466)821-5371x382,U11
3,Michael,Guerrero,Michael Guerrero,2016-06-03,M,Sabre,1,deborah60@example.net,7544561537,U11
4,Marco,Woods,Marco Woods,2015-05-25,M,Sabre,1,joseph32@example.org,779.512.3028,U11
5,Cassandra,Anderson,Cassandra Anderson,2016-11-04,F,Sabre,1,whitestephanie@example.org,+1-897-286-6367x585,U11
6,Lisa,Martinez,Lisa Martinez,2018-07-26,F,Sabre,1,hessjohnny@example.org,+1-634-336-1900,U11
7,Miss,Natalie Miller,Miss Natalie Miller,2017-06-21,F,Sabre,1,respinoza@example.net,+1-678-503-9747,U11
8,Sarah,Gonzales,Sarah Gonzales,2018-11-19,F,Sabre,1,sparkssherry@example.com,(640)334-3156x8361,U11
9,Brandon,Collins,Brandon Collins,2013-10-08,M,Sabre,1,barbaravazquez@example.net,690-379-4326,U13
10,Kevin,Rios,Kevin Rios,2014-04-18,M,Sabre,1,robintucker@example.net,827.430.0632x02862,U13
11,Jerry,Perez,Jerry Perez,2014-05-20,M,Sabre,1,alexandra80@example.net,+1-495-812-3946x85230,U13
12,Richard,Bird,Richard Bird,2014-10-10,M,Sabre,1,browncharles@example.com,+1-898-985-7920x3493,U13
13,Megan,Smith,Megan Smith,2014-02-13,F,Sabre,1,rachel10@example.com,524.974.2576x94004,U13
14,Michelle,Wolfe,Michelle Wolfe,2013-06-11,F,Sabre,1,summersdavid@example.org,486-763-9486x285,U13
15,Susan,Scott,Susan Scott,2014-03-07,F,Sabre,1,hensleyrhonda@example.org,+1-224-860-8739x7707,U13
16,Lisa,Sanchez,Lisa Sanchez,2014-03-03,F,Sabre,1,swansonjean@example.com,470-782-6968x7333,U13
17,Jeffrey,Rodriguez,Jeffrey Rodriguez,2011-06-14,M,Sabre,1,ymason@example.com,990-508-6479x93428,U15
18,Jason,Joyce,Jason Joyce,2012-04-19,M,Sabre,1,morganheather@example.org,(245)634-0292,U15
19,Matthew,Martin,Matthew Martin,2012-04-13,M,Sabre,1,hannahperry@example.org,001-907-315-4182x8233,U15
20,Marissa,Livingston,Marissa Livingston,2011-03-31,F,Sabre,1,rogersmichelle@example.com,001-866-670-4780x1560,U15
21,Brittany,Ward,Brittany Ward,2012-10-18,F,Sabre,1,joseph61@example.net,979.379.8761,U15
22,Denise,Mccall,Denise Mccall,2012-10-15,F,Sabre,1,katherine12@example.com,989-304-5267,U15
23,Brandon,Mitchell,Brandon Mitchell,2010-07-29,M,Sabre,1,dustin06@example.com,6025095328,Cadet
24,Vincent,Ramirez,Vincent Ramirez,2009-10-07,M,Sabre,1,millerdiane@example.org,(619)935-4264,Cadet
25,Matthew,Woods,Matthew Woods,2010-09-18,M,Sabre,1,gkennedy@example.org,001-361-961-1742,Cadet
26,Rachel,Robinson,Rachel Robinson,2009-08-12,F,Sabre,1,cassidy18@example.net,(785)753-7949x8692,Cadet
27,Jacqueline,Goodwin,Jacqueline Goodwin,2010-09-08,F,Sabre,1,chaselynch@example.org,8158054386,Cadet
28,Theresa,Weaver,Theresa Weaver,2009-03-01,F,Sabre,1,xmartin@example.org,812-846-2491,Cadet
29,Brian,Tucker,Brian Tucker,2006-09-19,M,Sabre,1,heidi76@example.org,(582)276-1120x075,Junior
30,David,Walton,David Walton,2008-10-08,M,Sabre,1,denise54@example.org,(519)795-6038x44303,Junior
31,Thomas,Taylor,Thomas Taylor,2006-11-26,M,Sabre,1,lori86@example.org,(302)982-5380x487,Junior
32,Dr.,Amy Walters,Dr. Amy Walters,2008-02-15,F,Sabre,1,pgarrison@example.org,362-423-8675x03273,Junior
33,Tiffany,Stafford,Tiffany Stafford,2008-04-06,F,Sabre,1,hornemark@example.net,298.308.1463,Junior
34,Alicia,Gutierrez,Alicia Gutierrez,2006-01-10,F,Sabre,1,james92@example.net,315.626.5190x31478,Junior
35,Michael,Smith,Michael Smith,1982-09-17,M,Sabre,1,paulazimmerman@example.org,+1-420-507-6116x937,Senior
36,Christian,Avila,Christian Avila,1988-11-25,M,Sabre,1,jay30@example.org,001-785-566-7310x166,Senior
37,Kenneth,Turner,Kenneth Turner,1960-02-15,M,Sabre,1,johnstephens@example.com,937.587.9917,Senior
38,Amanda,Perez,Amanda Perez,1969-11-04,F,Sabre,1,sfields@example.org,+1-911-251-2047,Senior
39,Chelsea,West,Chelsea West,1966-07-15,F,Sabre,1,vgutierrez@example.com,7597980493,Senior
40,Mikayla,Schneider,Mikayla Schneider,1978-06-20,F,Sabre,1,moraleskyle@example.org,7015517890,Senior
41,Tony,Jones,Tony Jones,2016-07-16,M,Foil,2,zcarroll@example.org,3666962950,U11
42,Randy,Myers,Randy Myers,2015-09-05,M,Foil,2,samuelwilliamson@example.net,8602988029,U11
43,Brian,Coffey,Brian Coffey,2016-12-14,M,Foil,2,cthomas@example.com,3386911152,U11
44,Joshua,Soto,Joshua Soto,2018-04-27,M,Foil,2,kristiebrock@example.com,001-955-390-8768x81473,U11
45,Isabel,Larson,Isabel Larson,2017-04-25,F,Foil,2,ifoster@example.com,+1-961-599-0854x5958,U11
