fencer_id,first_name,last_name,dob,gender,weapon,club_id
85551,Alicia,Johnson,2017-05-21,0,Sabre,Club_1
75551,Wendy,Underwood,2015-07-17,0,Sabre,Club_5
14296,Erica,Jones,2015-06-30,0,Sabre,Club_1
13471,Karen,Hahn,2017-04-16,0,Sabre,Club_3
46534,Anna,Rivers,2015-01-04,0,Sabre,Club_2
83430,Susan,Edwards,2017-04-17,0,Sabre,Club_5
63692,Lisa,Morales,2015-03-11,0,Sabre,Club_1
79989,Julie,West,2017-07-03,0,Sabre,Club_1
66465,Janet,Long,2018-04-10,0,Sabre,Club_1
23025,Lauren,Ramos,2015-05-02,0,Sabre,Club_2
71757,Erika,Ramirez,2015-08-06,0,Sabre,Club_1
14927,Stephanie,Campos,2015-05-26,0,Sabre,Club_2
27934,Jennifer,Lee,2017-03-31,0,Sabre,Club_2
19892,Stephanie,Armstrong,2017-07-27,0,Sabre,Club_5
34238,Jennifer,Atkinson,2016-01-31,0,Sabre,Club_5
68199,Janet,Vazquez,2017-10-25,0,Sabre,Club_1
1727,Lisa,Martin,2017-12-22,0,Sabre,Club_1
79176,Jennifer,Long,2015-01-17,0,Sabre,Club_3
64651,Monica,Henson,2018-11-04,0,Sabre,Club_5
98568,Elizabeth,Johnson,2015-02-10,0,Sabre,Club_1
93903,Victoria,Mann,2015-03-23,0,Sabre,Club_4
87905,Michelle,Mcintyre,2017-08-14,0,Sabre,Club_3
3284,Dana,Hester,2018-03-03,0,Sabre,Club_2
6917,Angela,Acevedo,2015-10-21,0,Sabre,Club_1
45064,Ann,Noble,2017-03-22,0,Sabre,Club_4
58515,Barbara,Murphy,2017-08-24,0,Sabre,Club_5
82211,Brenda,Scott,2016-04-12,0,Sabre,Club_2
28366,Kristy,Martin,2015-06-16,0,Sabre,Club_4
15877,Ruth,Williams,2016-07-17,0,Sabre,Club_3
99861,Denise,Kirk,2016-07-18,0,Sabre,Club_2
46865,Patricia,Snow,2018-08-25,0,Sabre,Club_5
96397,Elizabeth,Hood,2017-12-04,0,Sabre,Club_4
89726,Kathryn,Grant,2018-03-07,0,Sabre,Club_3
71998,Jacqueline,Logan,2016-11-21,0,Sabre,Club_5
46998,Veronica,Robertson,2018-09-10,0,Sabre,Club_1
62833,Rachel,Mason,2015-08-02,0,Sabre,Club_1
46848,Sarah,Alvarado,2015-04-22,0,Sabre,Club_2
79663,Jennifer,Parker,2015-01-25,0,Sabre,Club_4
5064,Rebecca,Bailey,2017-10-06,0,Sabre,Club_1
63420,Erica,Wood,2015-07-23,0,Sabre,Club_5
68568,Monica,Bautista,2015-12-26,0,Sabre,Club_1
13272,Tiffany,Day,2015-01-06,0,Sabre,Club_3
72602,Tamara,Landry,2016-07-07,0,Sabre,Club_3
57480,Linda,Lane,2016-12-31,0,Sabre,Club_4
36807,Angela,Rodriguez,2016-03-28,0,Sabre,Club_4
66561,Anna,Salas,2016-09-06,0,Sabre,Club_2
58553,Kelly,Hall,2015-03-27,0,Sabre,Club_2
